job_name,top_level,relpath,path,structure_file,num_atoms,formula,volume,density,energy_eV,energy_per_atom_eV,incar,incar_system,incar_encut,incar_ispin,incar_ismear,incar_sigma,incar_gga,potcar_nelectrons_map,potcar_total_nelectrons,parse_errors,solute
BondOrder-VacuumGB-C1-Al-Al-35-d-6.31,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/Al/Al-35-d-6.31,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/Al/Al-35-d-6.31,CONTCAR,52,Ti51 Al1,1362.6127680076254,3.007853881473104,-390.92041597,-7.517700307115385,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-35-d-6.31""}",Al-35-d-6.31,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""Al"": 3.0}",207.0,,Al
BondOrder-VacuumGB-C1-Al-Al-36-d-6.31,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/Al/Al-36-d-6.31,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/Al/Al-36-d-6.31,CONTCAR,52,Ti51 Al1,1362.6127680076254,3.007853881473104,-391.92815956,-7.537079991538461,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-36-d-6.31""}",Al-36-d-6.31,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""Al"": 3.0}",207.0,,Al
BondOrder-VacuumGB-C1-V-V-25-d-0.00,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/V/V-25-d-0.00,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/V/V-25-d-0.00,CONTCAR,52,Ti51 V1,1362.6127680076254,3.037052530516067,-394.68241107,-7.590046366730769,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""V-25-d-0.00""}",V-25-d-0.00,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""V"": 5.0}",209.0,,V
BondOrder-VacuumGB-C1-V-V-26-d-0.00,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/V/V-26-d-0.00,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/V/V-26-d-0.00,CONTCAR,52,Ti51 V1,1362.6127680076254,3.037052530516067,-394.671538,-7.589837269230769,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""V-26-d-0.00""}",V-26-d-0.00,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""V"": 5.0}",209.0,,V
BondOrder-VacuumGB-C1-V-V-27-d-1.38,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/V/V-27-d-1.38,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/V/V-27-d-1.38,CONTCAR,52,Ti51 V1,1362.6127680076254,3.037052530516067,-396.63417366,-7.627580262692307,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""V-27-d-1.38""}",V-27-d-1.38,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""V"": 5.0}",209.0,,V
BondOrder-VacuumGB-C1-V-V-28-d-1.38,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/V/V-28-d-1.38,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/V/V-28-d-1.38,CONTCAR,52,Ti51 V1,1362.6127680076254,3.037052530516067,-396.58368014,-7.626609233461538,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""V-28-d-1.38""}",V-28-d-1.38,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""V"": 5.0}",209.0,,V
BondOrder-VacuumGB-C1-V-V-29-d-2.59,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/V/V-29-d-2.59,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/V/V-29-d-2.59,CONTCAR,52,Ti51 V1,1362.6127680076254,3.037052530516067,-395.32210465,-7.602348166346155,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""V-29-d-2.59""}",V-29-d-2.59,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""V"": 5.0}",209.0,,V
BondOrder-VacuumGB-C1-V-V-30-d-2.59,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/V/V-30-d-2.59,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/V/V-30-d-2.59,CONTCAR,52,Ti51 V1,1362.6127680076254,3.037052530516067,-395.84207362,-7.612347569615385,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""V-30-d-2.59""}",V-30-d-2.59,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""V"": 5.0}",209.0,,V
BondOrder-VacuumGB-C1-V-V-31-d-3.83,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/V/V-31-d-3.83,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/V/V-31-d-3.83,CONTCAR,52,Ti51 V1,1362.6127680076254,3.037052530516067,-395.77230015,-7.6110057721153845,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""V-31-d-3.83""}",V-31-d-3.83,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""V"": 5.0}",209.0,,V
BondOrder-VacuumGB-C1-V-V-32-d-3.83,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/V/V-32-d-3.83,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/V/V-32-d-3.83,CONTCAR,52,Ti51 V1,1362.6127680076254,3.037052530516067,-396.17412873,-7.618733244807692,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""V-32-d-3.83""}",V-32-d-3.83,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""V"": 5.0}",209.0,,V
